design_layer,design_datatype,foundry_layer,foundry_datatype,cell_name,one_to_many,layer_name,layer_type,layer_description,layer_present
4327,0,4327,0,*,FALSE,ubm,mask,ubm,NO
4328,0,4328,0,*,FALSE,passopen2,mask,passopen2,NO
4344,84,4344,84,*,FALSE,temp17_temporary,mask,temp17_temporary,NO
4431,0,4431,0,*,FALSE,momcap_1v8,mask,momcap_1v8,NO
4448,0,4448,0,*,FALSE,momcap_1v2,mask,momcap_1v2,NO
4502,0,4502,0,*,FALSE,temp6_temporary,mask,temp6_temporary,NO
4503,0,4503,0,*,FALSE,elvtn,mask,elvtn,NO
4505,0,4505,0,*,FALSE,elvtp,mask,elvtp,NO
4601,0,4601,0,*,FALSE,ulpn,mask,ulpn,NO
4602,0,4602,0,*,FALSE,ulpp,mask,ulpp,NO
5001,0,5001,0,*,FALSE,esd_hbjt_drc,mask,esd_hbjt_drc,NO
